./trafficnew/2d_mesh_8x8/fpppp_2d_mesh_8x8.stp	182.33	165207	-nan	-nan	-nan	0	0	164419	0.00257732
./trafficnew/2d_mesh_8x8/h264dh_2d_mesh_8x8.stp	234.2	219025	0.412565	3.54056	9668.3	12.7553	0.00622818	181900	0.000268601
./trafficnew/2d_mesh_8x8/h264dl_2d_mesh_8x8.stp	123.74	139585	0.0817237	3.63767	12619.2	35.4324	0.017301	125531	0.000165782
./trafficnew/2d_mesh_8x8/robot_2d_mesh_8x8.stp	188.08	207319	0.082377	2.85017	203	0.773567	0.000377718	198383	6.07386e-05
./trafficnew/2d_mesh_8x8/sample_2d_mesh_8x8.stp	204.61	189993	0.0815505	3.25832	30881.7	230.617	0.112606	169778	0.000691563
./trafficnew/2d_mesh_8x8/satell_2d_mesh_8x8.stp	46.15	39134	0.52879	3.63767	654	9.93789	0.00485248	36049	0.00621118
./trafficnew/2d_mesh_8x8/sparse_2d_mesh_8x8.stp	48.3	53870	0.0819105	3.50566	4254	52.1123	0.0254454	41210	7.94976e-05
./trafficnew/2d_mesh_8x8/sample_2d_mesh_8x8.stp	1781.66	1.63075e+06	0.0816033	3.30257	27547.4	104.074	0.0508175	1.43527e+06	4.09651e-05
./trafficnew/2d_mesh_8x8/satell_2d_mesh_8x8.stp	418.11	353750	0.485158	3.46418	292.721	21.662	0.0105771	326792	0.000233991
./trafficnew/2d_mesh_8x8/sparse_2d_mesh_8x8.stp	383.6	406560	0.0820061	3.47859	4102.77	63.2146	0.0308665	306842	8.77655e-05
./trafficnew/2d_mesh_8x8/fpppp_2d_mesh_8x8.stp	1726.17	1.60077e+06	0.0943567	3.43827	227.703	4.2314	0.00206611	893435	2.1235e-05
./trafficnew/2d_mesh_8x8/h264dh_2d_mesh_8x8.stp	2208.44	1.8157e+06	0.412438	3.53591	8914.74	8.69371	0.00424497	1.16795e+06	2.3094e-05
./trafficnew/2d_mesh_8x8/h264dl_2d_mesh_8x8.stp	864.67	956130	0.0816424	3.40401	14838.4	66.7351	0.0325855	470525	3.51242e-05
./trafficnew/2d_mesh_8x8/robot_2d_mesh_8x8.stp	1819.82	1.99458e+06	0.0833987	3.19515	392.672	5.22929	0.00255336	1.18183e+06	1.84243e-05
./trafficnew/2d_mesh_8x8/sample_2d_mesh_8x8.stp	1787.17	1.62138e+06	0.0815957	3.25674	43050.4	491.945	0.240208	1.047e+06	2.29418e-05
./trafficnew/2d_mesh_8x8/satell_2d_mesh_8x8.stp	434.72	365111	0.453811	3.34731	499.586	28.2031	0.0137711	237906	0.000108649
./trafficnew/2d_mesh_8x8/sparse_2d_mesh_8x8.stp	400.15	422873	0.0817337	3.30827	9150.22	143.529	0.0700823	239660	7.75329e-05
